wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-95172,-139057,hypsographic,Sedlo,Sedlo,official,44.2,15.983333,HR-13,,
-96017,-140374,hypsographic,Sleme,Sleme,official,45.4025,14.563333,HR-08,,
-87755,-127911,settlement,Lun,Lun,official,44.686944,14.750278,HR-09,,
325973,405319,hypsographic,Kosa,Kosa,official,43.581111,16.873611,HR-17,,
302455,378076,settlement,Beširi,Besiri,official,44.627222,15.942778,HR-09,,
321443,399952,settlement,Snos,Snos,official,45.178333,15.638056,HR-04,,
308152,384650,hypsographic,Greda,Greda,official,44.8175,15.504167,HR-09,,
243943,307186,settlement,Zarilac,Zarilac,official,45.349444,17.868889,HR-11,,
329866,409728,hydrographic,Jezerac,Jezerac,official,43.004167,17.545,HR-19,,
314713,392349,settlement,Javnik,Javnik,short,45.043056,16.192778,HR-03,,
330201,410087,hypsographic,Kosor,Kosor,official,42.8225,17.695278,HR-19,,
325508,404793,hypsographic,Jova,Jova,official,43.523611,17.049167,HR-17,,
307592,384011,settlement,Krš,Krs,official,44.729167,15.318611,HR-09,,
317836,395884,settlement,Bani,Bani,official,43.569722,16.745278,HR-17,,
326018,405364,settlement,Kuko,Kuko,official,43.644722,16.830833,HR-17,,
-1985720,-4851873,hydrographic,Mura,Mura,official,46.3,16.916667,S1-000,,
-1985720,-2767972,hydrographic,Mur,Mur,official,46.3,16.916667,S1-000,,
-1984045,-2765935,hydrographic,Lendva,Lendva,official,46.483333,16.583333,S1-000,,
-1984045,-2766073,hydrographic,Libenica,Libenica,variant,46.483333,16.583333,S1-000,,
-1984045,-2765937,hydrographic,Ledava,Ledava,official,46.483333,16.583333,S1-000,,
-1984045,-2765931,hydrographic,Lendava,Lendava,variant,46.483333,16.583333,S1-000,,
-1975877,-2756188,hydrographic,Drave,Drave,variant,45.55,18.916667,S1-000,,
-1975877,15692493,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-1268348,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756189,hydrographic,Dravus,Dravus,variant,45.55,18.916667,S1-000,,
-1975877,-1268331,hydrographic,"Drau Fluss","Drau Fluss",variant,45.55,18.916667,S1-000,,
-1975877,15248504,hydrographic,Drava,Drava,colloquial,45.55,18.916667,S1-000,,
-1975877,-2756185,hydrographic,Drau,Drau,official,45.55,18.916667,S1-000,,
-1975877,-2756184,hydrographic,"Drava River","Drava River",colloquial,45.55,18.916667,S1-000,,
-1975877,-2756186,hydrographic,Drava,Drava,official,45.55,18.916667,S1-000,,
-1975877,-2756187,hydrographic,Dráva,Drava,official,45.55,18.916667,S1-000,,
-1151841,19650071,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-1151841,-1698243,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650073,hypsographic,"Βαλκανική Χερσόνησο","Βαλκανική Χερσόνησο",unknown,44,23,S1-000,,
-1151841,19650065,hypsographic,"Valkanikí Chersónisos","Valkaniki Chersonisos",official,44,23,S1-000,,
-1151841,19650064,hypsographic,"Balkansko Poluostrvo","Balkansko Poluostrvo",official,44,23,S1-000,,
-1151841,19650063,hypsographic,"Gadishulli Ballkanik","Gadishulli Ballkanik",official,44,23,S1-000,,
-1151841,19650069,hypsographic,"Balkan Yarımadası","Balkan Yarimadasi",official,44,23,S1-000,,
-1151841,19650066,hypsographic,"Balkanski Poluostrov","Balkanski Poluostrov",official,44,23,S1-000,,
-1151841,19650072,hypsographic,"Балканско Полуострво","Балканско Полуострво",unknown,44,23,S1-000,,
-1151841,-1698242,hypsographic,Balkans,Balkans,variant,44,23,S1-000,,
-1151841,19650067,hypsographic,"Peninsula Balcanică","Peninsula Balcanica",official,44,23,S1-000,,
-1151841,19650068,hypsographic,"Balkanski Poluotok","Balkanski Poluotok",official,44,23,S1-000,,
-1151841,-1698241,hypsographic,"Balkan Peninsula","Balkan Peninsula",colloquial,44,23,S1-000,,
-1151841,19650070,hypsographic,"Балкански Полуостров","Балкански Полуостров",unknown,44,23,S1-000,,
-850416,-1265858,hydrographic,Borza,Borza,official,45.833333,18.8,S1-000,,
-842100,-1252636,hypsographic,Alföld,Alfold,variant,47,20,S1-000,,
-842100,-1254971,hypsographic,"Nagy Magyar Alföld","Nagy Magyar Alfold",official,47,20,S1-000,,
-842100,-1252635,hypsographic,Aľfëľd,Al'fel'd,variant,47,20,S1-000,,
-842100,-1254973,hypsographic,"Great Plain","Great Plain",variant,47,20,S1-000,,
-842100,-1254972,hypsographic,"Great Hungarian Plain","Great Hungarian Plain",variant,47,20,S1-000,,
-842100,-1253185,hypsographic,"Boľshaya Sredne-Dunayskaya Nizmennosť","Bol'shaya Sredne-Dunayskaya Nizmennost'",variant,47,20,S1-000,,
-842100,-1254970,hypsographic,"Great Alfold","Great Alfold",colloquial,47,20,S1-000,,
-842100,-1255712,hypsographic,"Hungarian Plain","Hungarian Plain",variant,47,20,S1-000,,
-131344,-199914,hydrographic,Triest,Triest,variant,45.666667,13.583333,S1-000,,
-131344,-199918,hydrographic,Trieste,Trieste,variant,45.666667,13.583333,S1-000,,
-131344,-200010,hydrographic,"Tržaški Zaliv","Trzaski Zaliv",official,45.666667,13.583333,S1-000,,
-131344,-199916,hydrographic,"Gulf of Trieste","Gulf of Trieste",colloquial,45.666667,13.583333,S1-000,,
-131344,-200003,hydrographic,"Tršćanski Zaljev","Trscanski Zaljev",official,45.666667,13.583333,S1-000,,
-131344,-200002,hydrographic,"Trščanski Zaliv","Trscanski Zaliv",variant,45.666667,13.583333,S1-000,,
-131344,-199920,hydrographic,"Golfo di Trieste","Golfo di Trieste",official,45.666667,13.583333,S1-000,,
-131344,-200004,hydrographic,Trst,Trst,variant,45.666667,13.583333,S1-000,,
-119396,-4851883,hypsographic,Istria,Istria,colloquial,45,14,HR-000,,
-119396,-4851882,hypsographic,Istra,Istra,official,45,14,HR-000,,
-119396,-183750,hypsographic,Istria,Istria,official,45,14,HR-000,,
-119396,-4851870,hypsographic,Istra,Istra,official,45,14,HR-000,,
-102312,-140520,settlement,Sman,Sman,variant,43.972222,15.113333,HR-13,,
-102312,-149436,settlement,Žman,Zman,official,43.972222,15.113333,HR-13,,
-100705,-147216,settlement,Vodostaj,Vodostaj,official,45.505556,15.58,HR-04,,
-100674,-147174,hypsographic,Vodenica,Vodenica,official,45.6,15.416667,HR-04,,
-100548,-146995,settlement,Vitunj,Vitunj,official,45.3,15.15,HR-04,,
-102742,-147511,settlement,Vranjica,Vranjica,variant,43.533333,16.466667,HR-17,,
-102742,-149735,settlement,Vranjic,Vranjic,official,43.533333,16.466667,HR-17,,
-102742,-139275,settlement,"Selo Vranjic","Selo Vranjic",variant,43.533333,16.466667,HR-17,,
-102684,-135737,hypsographic,"Ostrov Premuda","Ostrov Premuda",variant,44.335,14.618889,HR-13,,
-102684,-149737,hypsographic,"Otok Premuda","Otok Premuda",official,44.335,14.618889,HR-13,,
-102684,-135738,hypsographic,"Ostrvo Premuda","Ostrvo Premuda",variant,44.335,14.618889,HR-13,,
-102675,-149739,hypsographic,"Rt Pical","Rt Pical",official,45.236111,13.593611,HR-18,,
-102675,-134162,hypsographic,"Rt Pizal","Rt Pizal",variant,45.236111,13.593611,HR-18,,
-102675,-134163,hypsographic,"Pizzale Point","Pizzale Point",variant,45.236111,13.593611,HR-18,,
-102648,-149742,hydrographic,"Uvala Muna","Uvala Muna",official,43.666667,15.65,HR-15,,
