wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-1067689,-1584814,hydrographic,Farako,Farako,official,12.6502,-7.5767,ML-2,,
-1069692,-1587883,settlement,Kari,Kari,official,14.322,-9.6022,ML-11,,
-1066007,-1582539,settlement,Dari,Dari,official,13.7625,-4.3056,ML-17,,
-1070415,-1588845,settlement,Koma,Koma,official,15.7531,-4.0203,ML-6,,
-1070873,-1589458,settlement,Kounda,Kounda,official,15.3846,-3.9976,ML-5,,
-1076579,-1597638,settlement,Tyi,Tyi,official,13.9331,-3.7732,ML-19,,
-1072903,-1592271,settlement,Omo,Omo,official,13.8893,-3.3522,ML-19,,
-1065220,-1581506,settlement,Bia,Bia,official,16.839722,-0.296111,ML-7,,
-1076722,-1597850,settlement,Wini,Wini,official,13.9695,-3.8173,ML-19,,
-1076135,-1597044,settlement,Tira,Tira,official,13.6392,-3.851,ML-19,,
10338615,10749537,hypsographic,Amni,Amni,official,15.848575,-2.052948,ML-6,,
10338641,10749563,hypsographic,Homi,Homi,official,15.3577,-2.3789,ML-6,,
9054259,9054259,settlement,Bako,Bako,official,12.673692,-8.926774,ML-12,,
9049789,9049789,settlement,Zéla,Zela,official,12.005053,-7.945556,ML-15,,
10326262,10728598,settlement,Wonina,Wonina,official,12.6283,-5.9253,ML-16,,
9050264,9050264,settlement,Famou,Famou,official,12.477854,-7.589876,ML-2,,
10237258,10572312,settlement,Fara,Fara,official,11.062226,-7.510221,ML-15,,
10332083,10737097,settlement,Téta,Teta,official,14.726898,-3.651187,ML-19,,
10383244,10842668,settlement,Bèmè,Beme,official,13.149152,-6.52076,ML-4,,
-1717933,-2410381,hydrographic,Fayando,Fayando,official,14.73212,-1.383356,ML-18,,
-1720301,-2413204,spot,Laordé,Laorde,official,14.791746,-1.149589,ML-18,,
-3174528,-4469992,hypsographic,"Great Desert","Great Desert",variant,26,13,S1-000,,
-3174528,-4483463,hypsographic,Sahara,Sahara,official,26,13,S1-000,,
-3174528,-4483465,hypsographic,"Sahara Desert","Sahara Desert",variant,26,13,S1-000,,
-3174528,-4483499,hypsographic,Sahra,Sahra,variant,26,13,S1-000,,
-3174528,-4483464,hypsographic,"Deserto di Sahara","Deserto di Sahara",variant,26,13,S1-000,,
-2273623,-3137319,hydrographic,Sanokolé,Sanokole,variant,14.405068,-12.200258,S1-000,,
-2273623,10124816,hydrographic,"Sanon Kolé","Sanon Kole",official,14.405068,-12.200258,S1-000,,
-2274195,9154820,hydrographic,"Sénégal Fleuve","Senegal Fleuve",official,15.7881,-16.5288,S1-000,,
-2271640,-3134572,settlement,Moussala,Moussala,official,13.683501,-12.04848,ML-1,,
-2266821,10126199,hydrographic,Den,Den,official,14.0579,-12.341429,S1-000,,
-2266329,-3127418,settlement,Boutou,Boutou,variant,13.646608,-12.032409,ML-1,,
-2266329,-3127345,settlement,Bountou,Bountou,official,13.646608,-12.032409,ML-1,,
-2265487,10202746,hydrographic,Balin-Ko,Balin-Ko,official,12.490758,-11.356509,S1-000,,
-2266329,-3127348,settlement,"Bountou Malinke","Bountou Malinke",variant,13.646608,-12.032409,ML-1,,
-2265487,-3126250,hydrographic,"Balin Ko","Balin Ko",official,12.490758,-11.356509,S1-000,,
-2265487,-3126253,hydrographic,"Balino Ko","Balino Ko",variant,12.490758,-11.356509,S1-000,,
-2265487,-3126243,hydrographic,"Baling Ko","Baling Ko",variant,12.490758,-11.356509,S1-000,,
-2266329,-3127140,settlement,Bontou,Bontou,variant,13.646608,-12.032409,ML-1,,
