wgdPlaceId,wgdId,type,name,fullName,nameType,latitude,longitude,administrationGroup,isHistorical,isCapital
-788481,-1136019,settlement,Rahn,Rahn,official,17.133333,54.1,OM-ZU,,
-3789648,18210678,hypsographic,"جبال القمر","جبال القمر",unknown,16.847851,53.340749,S1-000,,
-3789648,18210650,hypsographic,"Jabal al Qamr","Jabal al Qamr",variant,16.847851,53.340749,S1-000,,
-3789648,18210652,hypsographic,"جبل القمر","جبل القمر",unknown,16.847851,53.340749,S1-000,,
-3789648,18210651,hypsographic,"Jabal al Qamar","Jabal al Qamar",official,16.847851,53.340749,S1-000,,
-3789648,-5028529,hypsographic,"Jibāl al Qamar","Jibal al Qamar",official,16.847851,53.340749,S1-000,,
-3191915,-4512546,hydrographic,"Shi‘b Shibitha","Shi`b Shibitha",variant,17.326879,52.760549,S1-000,,
-3191915,18180609,hydrographic,"Shi‘b Shabathah","Shi`b Shabathah",official,17.326879,52.760549,S1-000,,
-3191915,14249949,hydrographic,"Wādī Shabathah","Wadi Shabathah",variant,17.326879,52.760549,S1-000,,
-3191915,18180610,hydrographic,"شعب شبثة","شعب شبثة",unknown,17.326879,52.760549,S1-000,,
-3189959,14259020,hydrographic,"Wādī Mitān","Wadi Mitan",variant,18.709127,52.584885,S1-000,,
-3190219,18095556,hydrographic,"وادي ناريت","وادي ناريت",unknown,17.406872,52.810853,S1-000,,
-3189959,17916502,hydrographic,"وادي ميتن","وادي ميتن",unknown,18.709127,52.584885,S1-000,,
-3189959,17916501,hydrographic,"Wādī Maytan","Wadi Maytan",official,18.709127,52.584885,S1-000,,
-3190219,12904733,hydrographic,"وادي نهرت","وادي نهرت",unknown,17.406872,52.810853,S1-000,,
-3189959,-4509179,hydrographic,"Wādī Mītan","Wadi Mitan",official,18.709127,52.584885,S1-000,,
-3190219,14249460,hydrographic,"Wādī Nārayt","Wadi Narayt",official,17.406872,52.810853,S1-000,,
-3190219,-4509648,hydrographic,"Wādī Nahrit","Wadi Nahrit",variant,17.406872,52.810853,S1-000,,
-3189314,-4508106,hydrographic,"Shi‘b Mahdoeet","Shi`b Mahdoeet",variant,17.368516,52.707571,S1-000,,
-3189332,-4508142,park,Mahrah,Mahrah,official,17.416667,53,S1-000,,
-3189314,18180614,hydrographic,"شعب مهديت","شعب مهديت",unknown,17.368516,52.707571,S1-000,,
-3189314,14249458,hydrographic,"Shi‘b Maḩdwīt","Shi`b Mahdwit",variant,17.368516,52.707571,S1-000,,
-3189314,18180613,hydrographic,"Shi‘b Mahdīt","Shi`b Mahdit",official,17.368516,52.707571,S1-000,,
-3098686,-4361961,hypsographic,"Ar Rimal","Ar Rimal",variant,21,51,S1-000,,
-3098686,-4373397,hypsographic,Ruba’-al-Khāli,Ruba'-al-Khali,variant,21,51,S1-000,,
-3098686,-4373283,hypsographic,"Rhub al Khali","Rhub al Khali",variant,21,51,S1-000,,
-3098686,-4373401,hypsographic,"Rub‘ al Khali","Rub` al Khali",colloquial,21,51,S1-000,,
-3098686,18035233,hypsographic,"الربع الخالي","الربع الخالي",unknown,21,51,S1-000,,
-3098686,-4361855,hypsographic,"Ar Rab‘ al Khālī","Ar Rab` al Khali",variant,21,51,S1-000,,
-3098686,-4366160,hypsographic,"Great Sandy Desert","Great Sandy Desert",variant,21,51,S1-000,,
-3098686,-4511244,hypsographic,"Ar Rub‘ al Khālī","Ar Rub` al Khali",official,21,51,S1-000,,
-3098686,-4365268,hypsographic,"Empty Quarter","Empty Quarter",variant,21,51,S1-000,,
-3098686,-4364378,hypsographic,Dahna,Dahna,variant,21,51,S1-000,,
-3094895,18886761,park,غنيم,غنيم,unknown,19.990578,54.76653,S1-000,,
-3094895,-4365888,park,Ghanīm,Ghanim,official,19.990578,54.76653,S1-000,,
-3094897,18886438,hypsographic,"Ghunaym ash Shaybah","Ghunaym ash Shaybah",official,19.956578,54.577238,S1-000,,
-3094897,-4365891,hypsographic,"Ghanīm ash Shaybah","Ghanim ash Shaybah",official,19.956578,54.577238,S1-000,,
-3094897,18886740,hypsographic,"غنيم الشيبة","غنيم الشيبة",unknown,19.956578,54.577238,S1-000,,
-3093725,19111000,hydrographic,"وادي بلدي","وادي بلدي",unknown,22.069486,55.468225,S1-000,,
-3093725,-4363333,hydrographic,"Wādī Baladī","Wadi Baladi",official,22.069486,55.468225,S1-000,,
-3093725,-4363334,hydrographic,"Wudayy al Baladī","Wudayy al Baladi",variant,22.069486,55.468225,S1-000,,
-3092884,15503473,hypsographic,"Shibh al Jazīrah al ‘Arabīyah","Shibh al Jazirah al `Arabiyah",official,25,45,S1-000,,
-3092546,-4373208,park,Rawashid,Rawashid,variant,19.333333,53.333333,OM-ZU,,
-3092883,-4363787,park,"Bilād al ‘Arab","Bilad al `Arab",official,25,45,S1-000,,
-3092546,-4361004,park,"Āl Rāshid","Al Rashid",official,19.333333,53.333333,OM-ZU,,
-3092884,11181255,hypsographic,"جزيرة العرب","جزيرة العرب",unknown,25,45,S1-000,,
-3092883,15503254,park,"بلاد العرب","بلاد العرب",unknown,25,45,S1-000,,
-3092883,-4368270,park,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092883,-4361700,park,Arabia,Arabia,colloquial,25,45,S1-000,,
-3092884,15503472,hypsographic,"Jazīrat al ‘Arab","Jazirat al `Arab",variant,25,45,S1-000,,
-3092884,15503474,hypsographic,"شبه الجزيرة العربية","شبه الجزيرة العربية",unknown,25,45,S1-000,,
-3092546,-4361911,park,"Ar Rashid","Ar Rashid",variant,19.333333,53.333333,OM-ZU,,
-3092884,-4361702,hypsographic,"Arabian Peninsula","Arabian Peninsula",colloquial,25,45,S1-000,,
-934031,18775175,hydrographic,"وادي شيك","وادي شيك",unknown,24.180507,55.969005,S1-000,,
-934031,-1381575,hydrographic,"Wādī Shīk","Wadi Shik",variant,24.180507,55.969005,S1-000,,
-934031,18775240,hydrographic,"Wādī ash Shīk","Wadi ash Shik",variant,24.180507,55.969005,S1-000,,
-934031,18775174,hydrographic,"Wādī Shayk","Wadi Shayk",variant,24.180507,55.969005,S1-000,,
-934031,18775239,hydrographic,"وادي الشّيك","وادي الشيك",unknown,24.180507,55.969005,S1-000,,
-934031,18775238,hydrographic,"Wādī ash Shayk","Wadi ash Shayk",official,24.180507,55.969005,S1-000,,
-934031,-1381573,hydrographic,"Wādī Chich","Wadi Chich",variant,24.180507,55.969005,S1-000,,
-930479,12905348,hydrographic,"وادي شحن","وادي شحن",unknown,18.161162,52.919188,S1-000,,
